movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc
almost-famous;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Cameron Crowe, who was a teenage rock critic, drew upon his personal experiences to write and direct this film. It follows a teenage music critic as he joins a fictitious band, Stillwater, on their cross-country tour. It is funny, heartbreaking, historical, musically stimulating, and incredibly satisfying. A great film for anyone who is seeking to get lost in the decade of the seventies. This film is brimming over with nostalgia-inducing imagery and music."" ]";0.0;0.0;0.0;0.0;10.0
pulp-fiction;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Brilliantly written. Pulp Fiction is one of the most intoxicating movies of all time. It sucks one into its twisting timelines, complicated relationships, and irresistible dialogue. It will sucker punch you and then kiss you lightly on the lips as the end credits start to roll down the screen."" ]";0.0;0.0;0.0;0.0;10.0
the-godfather;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Listen up naysayers. Yeah. It does deserve a perfect score. Family. This film gives new definition to the word. The love that the Corleones have for each other in this film is so strong, yet it is also complicated. With a family business that is built upon a foundation of violence, the Corleones are destined for tragedy. Starring Marlon Brando as the Don, and Al Pacino as his son, Michael, this film is the unquestionable magnum opus of Francis Ford Coppola. This is the premier mafia motion picture."" ]";0.0;1.0;0.0;1.0;10.0
the-virgin-suicides;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""In Sophia Coppola's directorial debut we are witness to a series of tragic events that take place in a quiet suburban neighborhood in the 1970s. Based on the spectacular book by Jeffrey Eugenides, and featuring the music of Air, this movie is perfection. It is a hauntingly beautiful depiction of young love and the pains of shattered expectations."" ]";2.0;2.0;2.0;0.0;10.0
the-royal-tenenbaums;10;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""I have found that this movie polarizes people into two camps. You are either going to hate it or love it. I personally think that it is one of the greatest movies ever made, but I like everything that Wes Anderson has directed. It has one of the most amazing casts that has ever been assembled, and every actor shines in his/her own unique way in this movie. If you are looking for a laugh out loud comedy that is filled to the brim with sex, farts, and genitals than this is definitely not the movie for you. If, however, you are looking for a subtly funny, and deeply moving movie that has the ability to stay with you for years to come than I recommend this movie to you."", ""Side note- I don't know what it is exactly, but I am totally in love with Margot Tenenbaum. Maybe it is her wooden ring finger. Perhaps it is her black eyeliner. Maybe it is because she never really smiles. It's weird. She is so not my type, but I just want to . . ."", ""Anyways. Check this one out."" ]";1.0;1.0;1.0;0.0;10.0
amelie;10;Greatbeallo;/user/Greatbeallo;Jun  3, 2013;"[ ""This was my favorite film for years, and it is still one of my favorites. The title character is one of the greatest heroines in in movie history. Audrey Tautou seems to channel a young Audrey Hepburn in this film, and her performance is perfect. The cinematography is beautiful, the score is masterful, and the actors are wonderful. So good. So so good."" ]";3.0;4.0;3.0;1.0;10.0
raiders-of-the-lost-ark;10;Greatbeallo;/user/Greatbeallo;Feb 23, 2012;[];1.0;2.0;1.0;1.0;10.0
edward-scissorhands;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""Johnny Depp and Tim Burton have become a profitable duo over the past two decades. The partnership began in 1990 with the creation of this modern fairy tale.  This is my favorite of Depp's performances, as well as my favorite of Burton's films. Edward is fragile and frightening in the very same breath; a creature from a warped and dark imagination stranded in a world of pastels."" ]";1.0;1.0;1.0;0.0;10.0
fight-club;10;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""This movie revolutionized my taste in movies. I was 13 when I first saw this film, and it packed a solid punch that left me in a daze for days on end. Brad Pitt, Edward Norton, and Helena Bonham Carter are all cast to perfection. Pitt in particular is at his personal best. I loved the book by Chuck Pahlaniuk, but I feel that Fincher pumped additional life into the story. It is visionary, innovative, and singular. There have been many attempts to copycat the feeling that this movie created, but it seems like every attempt at touching the greatness of this movie have fallen flat. I don't think that everyone is going to enjoy this movie. I would never watch it with my parents for instance, but it really is great. It was once a cult hit, but it seems to have leaped forward into mainstream pop culture, and I think it deserves the attention."" ]";6.0;6.0;6.0;0.0;10.0
star-wars-episode-v---the-empire-strikes-back;10;Greatbeallo;/user/Greatbeallo;Feb  8, 2012;"[ ""Star Wars steps it up a notch in Episode V. This is a captivating piece of cinema, with some of the most iconic characters and movie moments that ever have been, and ever will be. Other movies have tried to tap into what made this film great, but the majority have failed. This is one of the most quotable movies ever. Simply flawless."" ]";2.0;2.0;2.0;0.0;10.0
pride-prejudice;10;Greatbeallo;/user/Greatbeallo;Feb 20, 2012;[];0.0;0.0;0.0;0.0;10.0
saving-private-ryan;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""In middle school some friends and I would have movie night every week. As we watched this particular film I began to cry. I was overwhelmed by the sacrifice these characters were making in an attempt to rescue a solitary soldier. I felt strange crying in front of my friends, but I realized in that moment that great cinema evokes great emotion. Our favorite movies make us feel poignantly. This was the first film to make me feel something so powerful that it caused me to shed tears."" ]";2.0;3.0;2.0;1.0;10.0
the-social-network;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""Let's be straight. This movie should have won best picture. This film is perhaps the most representative film of my generation. We are obsessed with technology, status, materialism, and sex. Fincher's depiction of how Facebook was developed is fascinating. Facebook has come to dominate our way of communicating and looking at the world, and this film, although controversial, beautifully depicts the way in which the website became the monster it is today."" ]";1.0;1.0;1.0;0.0;10.0
rushmore;10;Greatbeallo;/user/Greatbeallo;Feb 22, 2012;"[ ""I really love this flick. Sadly I can relate to Max's delusional characteristics. He is kind of pathetic in a loveable kind of way. Wes Anderson and Owen Wilson created the most memorable and dysfunctional antilove triangle in the history of cinema in my opinion. The art direction is slick. The cast is brilliant, especially Murray. The soundtrack is filled to the brim with nostalgic tunes. It's pretty close to perfection. I'm a gonna give it a 10 just the same."" ]";2.0;2.0;2.0;0.0;10.0
drive;10;Greatbeallo;/user/Greatbeallo;Feb  6, 2012;"[ ""This movie has some of the greatest movie moments that I have seen in recent years. The cast is phenomenal, and Gosling was particularly fantastic. This movie should have been nominated for best picture. The fact that it was neglected makes me question the Academy's judgment."" ]";1.0;3.0;1.0;2.0;10.0
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb;10;Bob_Loblaw;/user/Bob_Loblaw;May  1, 2014;[];2.0;2.0;2.0;0.0;10.0
goodfellas;10;Bob_Loblaw;/user/Bob_Loblaw;Apr 26, 2014;"[ ""Martin Scorsese's last classic film (The Departed was borderline, and for me it was on the wrong side of that border) gives an incredibly realistic depiction of life in the mafia. Surpassed only by the first two Godfather films in terms of crime films, but this is more re-watchable and more entertaining. Joe Pesci gives one of the greatest supporting performances of all time. Should have been the third oscar for Martin Scorsese (with Taxi Driver and Raging Bull). Yet another academy **** up"" ]";1.0;1.0;1.0;0.0;10.0
2001-a-space-odyssey;10;Bob_Loblaw;/user/Bob_Loblaw;Apr 26, 2014;"[ ""This film is surely the greatest accomplishment in the history of cinema both on a technical level and a storytelling level from the hands down the greatest filmmaker that America has ever produced. A film that demands to be seen on the biggest screen possible. Kubrick has practically destroyed the entire science fiction genre."" ]";2.0;2.0;2.0;0.0;10.0
the-thin-red-line;10;Bob_Loblaw;/user/Bob_Loblaw;May  2, 2014;"[ ""This film is cinema poetry and in my opinion, Terrence Malick's best film. Often overlooked, especially because it came out the same year as Saving Private Ryan, which, like nearly all Spielberg films, gives you all the answers and little to go home and think about. The Thin Red Line is infinitely superior and in terms of war films, is only second to Apocalypse Now."" ]";2.0;2.0;2.0;0.0;10.0
hidden;10;Bob_Loblaw;/user/Bob_Loblaw;May  1, 2014;[];0.0;0.0;0.0;0.0;10.0
silver-linings-playbook;10;Greatbeallo;/user/Greatbeallo;Dec 16, 2012;[];0.0;2.0;0.0;2.0;10.0
django-unchained;10;Greatbeallo;/user/Greatbeallo;Jan 13, 2013;[];0.0;0.0;0.0;0.0;10.0
raging-bull;10;Bob_Loblaw;/user/Bob_Loblaw;May  2, 2014;"[ ""Raging Bull is Martin Scorsese's magnum opus that surpasses both Taxi Driver and Goodfellas and is without doubt one of the top five American films ever made. A film that contains probably the greatest performance of all time by an actor and the fight scenes are simply exhilarating to watch. What is perhaps even more astonishing is that Scorsese knew nothing about boxing which is probably why the majority of this film takes place outside of the ring than inside it."", """", ""Easily the greatest film of the 1980s."" ]";0.0;0.0;0.0;0.0;10.0
the-godfather-part-ii;10;Bob_Loblaw;/user/Bob_Loblaw;May  1, 2014;[];0.0;0.0;0.0;0.0;10.0
there-will-be-blood;10;Bob_Loblaw;/user/Bob_Loblaw;May  1, 2014;[];2.0;2.0;2.0;0.0;10.0
the-darjeeling-limited;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""When three brothers reunite on a train traveling across India after a year of silence between them the result is this quirky, dry comedy. Starring Owen Wilson, Adrien Brody, and Jason Schwartzman this film is Director, Wes Anderson's finest. This is saying something, as Anderson is one of the finest filmmakers of this generation.  This movie made me want to go on a train ride across India with my brothers."" ]";0.0;0.0;0.0;0.0;10.0
the-fugitive;9;Greatbeallo;/user/Greatbeallo;Feb 23, 2012;"[ ""Harrison Ford has had some of the most iconic roles in cinematic history, but this is probably his best acting job in my personal opinion. This movie is a masterpiece. It is a great drama with stellar performances. It will snare you, and keep you hooked for its entirety. Such was my experience anyway."" ]";1.0;1.0;1.0;0.0;9.0
being-john-malkovich;9;Greatbeallo;/user/Greatbeallo;Feb  9, 2012;"[ ""Watched this movie again last night after not seeing it for years. It really is a fantastic film. Charlie Kauffman never fails to come up with bizarre and intriguing scripts, and Spike Jonze is also on his A-game. This movie starts off on a strange note, and it continues to spiral into a twilight zone of hilarious proportions. I don't even like Cameron Diaz, but I thought she was very good in her role, and I loved the rest of the cast as well. If you are looking for a film that is unlike any other film you have ever seen, or ever will see, then this film matches that criteria. It's a lot of fun, but also has some interesting things to say about real life issues."" ]";1.0;1.0;1.0;0.0;9.0
jaws;9;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""Keep in mind this movie was made in 1975! For its time this movie was leaps and bounds ahead of the competition. Spielberg was on point with this film. Jaws still has the ability to make me squirm a bit, and I have seen it a number of times. One of the things that amazes me about this film is the fact that it was adapted from a terrible novel. This is one case where the movie is much better than its literary counterpart. I think this is a movie that should be seen by everyone. It is one of AFI's top 100 films of all time, and with good reason. It was one of the original blockbusters. Watch with lots of popcorn, but lay off the Bloody Marys while watching this one . . ."" ]";0.0;1.0;0.0;1.0;9.0
mulholland-dr;9;Bob_Loblaw;/user/Bob_Loblaw;May  1, 2014;"[ ""?????????????????????????Â·???"", """", ""That's what I got from this film ^."", ""Gets at least an 8 for that amazing lesbian scene. But, this is a brilliant film, regardless, even if I didn't understand **** Standard David Lynch"" ]";0.0;0.0;0.0;0.0;9.0
election-1999;9;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""This movie is so great and unique! I am not particularly fond of Matthew Broderick, and he is really detestable in this movie, but he plays a douche bag to perfection. Reese Witherspoon is also on point. Seriously, this movie is an unusual treat. I can't really compare it to anything else I have seen."" ]";5.0;5.0;5.0;0.0;9.0
before-midnight;9;Bob_Loblaw;/user/Bob_Loblaw;May  3, 2014;[];0.0;0.0;0.0;0.0;9.0
looper;9;Greatbeallo;/user/Greatbeallo;Oct  6, 2012;[];2.0;6.0;2.0;4.0;9.0
star-wars-episode-iv---a-new-hope;9;Greatbeallo;/user/Greatbeallo;Feb  8, 2012;"[ ""George Lucas tapped into greatness with the original Star Wars trilogy. A New Hope was truly revolutionary when it was released in 77, and it holds up very well, despite some out of date special effects. This is a movie to be cherished and remembered as one of the greatest science fiction films ever produced."" ]";0.0;0.0;0.0;0.0;9.0
seeking-a-friend-for-the-end-of-the-world;8;Greatbeallo;/user/Greatbeallo;Jun 30, 2012;"[ ""Think Dan in Real Life combined with Melancholia, except that this film isn't as good as either of those. I liked this movie, but it's not really a comedy. It's more of a apocalyptic romance with the occasional humorous anecdote. Don't expect to be laughing too much. I'm a fan of Carell and Knightly, and they both play their parts well. I was satisfied, though I think it could have been better. 7.5 rounded up to an 8."" ]";0.0;1.0;0.0;1.0;8.0
10-things-i-hate-about-you;8;Greatbeallo;/user/Greatbeallo;Feb  2, 2012;"[ ""I just really enjoy this movie. It's fun to see some well known actors (Heath Ledger, Julia Stiles, and Joseph-Gordon Levitt) in earlier roles. It's a fun adaptation of the beloved Bill Shakespeare play. A good date movie, because both man and woman can get something out of it."" ]";0.0;0.0;0.0;0.0;8.0
the-perks-of-being-a-wallflower;8;Greatbeallo;/user/Greatbeallo;Nov 29, 2012;"[ ""I was a skeptic. I have been a fan of the book for a decade, and when I saw the previews for the film adaptation I cringed. I was wrong in my assumption that this movie would blow. It's a great film. The cast is perfect, and my heart felt for the characters onscreen, just as it did each time I read the book. It's destined to be a cult classic, or perhaps something even more. It's meant for those of us who are sensitive, and it works wonderfully on that level. One of my favorite picks of the year."" ]";0.0;1.0;0.0;1.0;8.0
superbad;8;Greatbeallo;/user/Greatbeallo;Feb 22, 2012;"[ ""The first time I watched this film I laughed so hard that I cried. It is incredibly raunchy, but high school kids are incredibly raunchy. They are often times much worse than they are depicted as in this film. If you don't like raunch then I would advise against watching this film. It was just a lot of fun to watch."" ]";0.0;0.0;0.0;0.0;8.0
the-artist;8;Greatbeallo;/user/Greatbeallo;Feb 21, 2012;"[ ""I thought that this film was a great throwback to an era that has become extinct. Both leads were endearing and intoxicating. I loved the score as well as the imagery. It is honestly one of the better films to come out of 2011. I don't think that it is a movie that I will watch again anytime soon, but as a novelty and memento I think it works great."" ]";0.0;1.0;0.0;1.0;8.0
bridesmaids;8;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;[];0.0;0.0;0.0;0.0;8.0
frostnixon;8;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""This is a really great movie. Not everyone is going to love it, and many people are going to get bored with it, but it is a very well thought out motion picture. It moves at a methodical pace that lures in the viewer. Only in the last half hour of the film does the story kick it into a higher gear. Frank Langella and Michael Sheen both give award worthy performances, and I even liked Kevin Bacon in this movie. Check it out if a good political drama is what you are craving, otherwise I wouldn't recommend it."" ]";0.0;0.0;0.0;0.0;8.0
the-hobbit-an-unexpected-journey;7;Greatbeallo;/user/Greatbeallo;Dec 14, 2012;"[ ""I quite liked this movie, but it could have been better. The original Lord of the Rings movies did not use CGI unless it was necessary. The orcs were men in costume and makeup, which made Jackson's depiction of middle earth seem more real somehow. In this new film, Jackson uses CGI as a crutch (nearly every creature is computer generated), and it hurts the continuity and flow of the story. This movie is pretty sweet in its own way, but if the creators had stuck with their original pattern (more make up and costumes, and less CGI) I would have thought it flawless. It's certainly enjoyable, and I'm looking forward to the next two installments, but I don't feel like this can be categorized as a classic."" ]";16.0;19.0;16.0;3.0;7.0
the-cabin-in-the-woods;7;Greatbeallo;/user/Greatbeallo;Jun 13, 2012;"[ ""This is the most fun I have had watching a thriller/horror film in as long as I can remember. I don't like the genre of horror much. I think it's generally predicable, and forced. This film, however, took me for a trip. Watching stupid characters get killed is fun and all, but when the underlying plot of this film is exposed in its latter half it really grabbed a hold of my attention. I haven't seen anything like this before. It twists and turns all over the place, and left me in a gleeful state. Is it scary? No. Is it enjoyable? Decidedly yes! I want to watch it again in the near future with lots of popcorn and a girl to cuddle with."" ]";0.0;1.0;0.0;1.0;7.0
forrest-gump;7;Bob_Loblaw;/user/Bob_Loblaw;Apr 26, 2014;"[ ""This is a good film that is unbelievably overrated. Gets a 7 for Tom Hanks' performance and the one admittedly hilarious scene where Bubba and Forrest are asked whether they are twins. The rest of the film is cartoonish, pretentious and overly-sentimental bull****. How this beat the Shawshank Redemption, or even worse Pulp Fiction, arguably the best movies of the 90s is beyond me."" ]";0.0;0.0;0.0;0.0;7.0
star-wars-episode-vi---return-of-the-jedi;7;Greatbeallo;/user/Greatbeallo;Feb  8, 2012;"[ ""Ultimately, the final film in the original trilogy failed to deliver. IV and V were so much fun, and contained a lot of darker elements that are noticeably absent in this film. The ewoks were a particularly despicable addition, with there dumb teddy bear faces, and unblinking eyes. Yes, this film is flawed, however, it is still a pretty decent movie, and much better than any of the films in the prequel trilogy."" ]";0.0;0.0;0.0;0.0;7.0
definitely-maybe;6;Greatbeallo;/user/Greatbeallo;Feb 23, 2012;[];0.0;1.0;0.0;1.0;6.0
star-wars-episode-iii---revenge-of-the-sith;6;Greatbeallo;/user/Greatbeallo;Feb  8, 2012;"[ ""This movie was a vast improvement upon the two preceding films, but it is still not quite up to snuff. Anikan is still a problematic character. I don't see Vader in him. Vader is cold and calculating. Anikan is emotional and reckless. The action sequences are a lot of fun to watch, and as the final loose strings of the series are tied off there is some sense of completion and satisfaction. I somehow still felt robbed of what might have been had Lucas just set his ego aside and hired some writers to improve upon his script. The original trilogy will always have a place in my heart, but this second trilogy only has a place on my shelf, where it will gather dust for years to come."" ]";0.0;0.0;0.0;0.0;6.0
hot-rod;6;Greatbeallo;/user/Greatbeallo;Feb 23, 2012;[];1.0;1.0;1.0;0.0;6.0
the-descendants;6;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""The Descendants is a good movie, which is to say it is neither groundbreaking nor earth-shattering. Clooney is great as usual, and the performance of his eldest daughter is also fantastic. It is nominated for best picture this year, and although it is good I don't believe that it should win. Rent it on dvd and watch it with someone who enjoys movies. Not for a casual viewer of film."" ]";0.0;0.0;0.0;0.0;6.0
project-x;6;Greatbeallo;/user/Greatbeallo;May 31, 2012;[];1.0;6.0;1.0;5.0;6.0
